Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Thread-Gruppe:Home,12051,167,101,314,608,1140,57,2430,1.867%,10.45419,82.36,1.57
Thread-Gruppe:Login,12047,280,209,473,739,1349,56,2447,2.474%,10.45804,96.16,8.08
Thread-Gruppe:List Products,12047,326,250,573,760,1566,0,3100,45.389%,10.45760,663.97,5.43
Thread-Gruppe:Look at Product,12039,657,554,1200,1670,2409,0,3947,12.817%,10.44661,1008.08,5.28
Thread-Gruppe:Add Product to Cart,12021,535,416,1103,1484,2195,54,4016,13.926%,10.43572,253.16,14.45
Thread-Gruppe:List Products with different page,12019,320,244,556,765,1586,0,3045,46.976%,10.43327,671.13,8.51
Thread-Gruppe:Add Product 2 to Cart,12005,578,475,1103,1503,2256,64,4522,13.411%,10.41839,256.72,18.04
Thread-Gruppe:Logout,12002,270,195,498,802,1326,62,2405,3.266%,10.42221,97.97,16.88
Add Product 2 to Cart,511,799,712,1475,1737,2020,37,2361,7.045%,10.61047,273.60,18.13
Look at Product,504,858,744,1650,2015,2247,69,2571,4.167%,10.48798,1082.92,4.76
Logout,503,380,241,840,1190,1420,63,1698,1.988%,10.46043,97.16,16.81
List Products with different page,503,394,291,661,1218,1714,17,2048,58.847%,10.46783,624.51,8.50
Home,493,241,125,599,803,1441,61,2133,1.217%,10.52182,80.86,1.58
Add Product to Cart,509,769,666,1464,1730,2072,124,2517,9.430%,10.64631,259.53,14.06
Login,497,379,252,755,1158,1618,127,2209,3.823%,10.48147,94.78,7.54
List Products,496,419,293,724,1135,1649,78,2069,55.847%,10.76716,658.17,5.04
TOTAL,100247,397,262,812,1160,1930,0,4522,17.526%,83.53527,3130.38,78.15
