Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread-Gruppe:Home,11986,167,57,2430,207.36,1.869%,10.45301,82.36,1.57,8067.9
Thread-Gruppe:Login,11971,280,56,2447,227.11,2.481%,10.44747,96.07,8.08,9415.9
Thread-Gruppe:List Products,11971,326,0,3100,268.04,45.259%,10.44520,664.22,5.44,65116.9
Thread-Gruppe:Look at Product,11966,655,0,3947,471.52,12.786%,10.43958,1007.77,5.28,98850.2
Thread-Gruppe:Add Product to Cart,11959,534,54,4016,440.22,13.923%,10.43356,253.09,14.45,24839.3
Thread-Gruppe:List Products with different page,11956,320,0,3045,272.33,46.830%,10.43164,671.87,8.51,65952.8
Thread-Gruppe:Add Product 2 to Cart,11946,577,64,4522,440.52,13.394%,10.42291,256.87,18.05,25236.2
Thread-Gruppe:Logout,11941,270,62,2405,237.49,3.258%,10.41932,97.96,16.88,9627.2
Home,558,234,61,2133,277.36,1.254%,10.63870,81.93,1.60,7886.0
List Products with different page,566,383,17,2048,321.85,60.601%,10.58241,618.81,8.58,59878.9
Look at Product,577,870,69,2571,475.19,5.893%,10.68459,1086.32,4.73,104111.9
Logout,564,379,63,1698,321.38,2.305%,10.53595,97.72,16.87,9498.0
Login,573,376,127,2209,310.65,3.490%,10.81663,97.86,7.66,9264.1
Add Product to Cart,571,769,76,2517,463.99,9.982%,10.63691,259.49,13.99,24980.5
Add Product 2 to Cart,570,810,37,2361,449.18,8.070%,10.62244,271.88,18.07,26209.0
List Products,572,412,78,2069,306.26,57.168%,10.86936,645.20,4.96,60783.9
TOTAL,100247,397,0,4522,378.16,17.526%,83.53527,3130.38,78.15,38373.1
